gold;cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
No;A00679;Q47410665;Giuseppe Agosti;Giuseppe Agostini;1890;1890;m;m;Italia;;Mortizza;Fano;bracciante;compositore|direttore d'orchestra;Giovanni;;socialista;(1890 - 1971) compositore e direttore d'orchestra;17;;1;-1;1;0;-1;0;-1;0;0.4
No;A00754;Q19862970;Giuseppe Agostini;Giuseppe Agostini;1875;1874;m;m;Italia;Italia|Regno d'Italia;Ascoli Piceno;Verona;commerciante;cantante lirico;Luigi;;antifascista;tenore italiano (1874-1951);6;;0;1;1;1;-1;0;-1;0;0.4444444444444444
Yes;A01214;Q3779149;Guido Albertelli;Guido Albertelli;1867;1867;m;m;Italia;Regno d'Italia;Parma;Parma;ingegnere;ingegnere|ingegnere strutturista|politico;Macedonio;;socialista;ingegnere, progettista e politico italiano;1;;1;1;1;1;1;0;1;0;1.0
No;A01575;Q48806496;Alessandro Alessandrini;Alessandro Alessandrini;1892;1891;m;m;Italia;Italia|Regno d'Italia;Nocera Umbra;Magione;dottore;politico;Giuseppe;;antifascista;politico italiano (1891-1963);4;;0;1;1;1;-1;0;-1;0;0.36363636363636365
Yes;A04471;Q63809002;Francesco Arca;Francesco Arcà;1879;1879;m;m;Italia;Regno d'Italia;Palmi;Palmi;avvocato;avvocato|politico;Rocco;;socialista;politico italiano;14;;1;1;1;1;1;0;1;0;1.0
No;B02157;Q64939521;Bruno Bandini;Bruno Bandini;1910;1910;m;;Italia;Svizzera;Faenza;;verniciatore;direttore d'orchestra|strumentista;Balilla;;comunista;;3;;1;1;0;-1;0;0;-1;0;0.0
No;B02878;Q124897461;Pietro Barbieri;Pietro Barbieri;1898;1899;m;m;Italia;Italia;Tortona;Roma;muratore|operaio;architetto;Luigi;;socialista;Italian architect, active in Liguria;14;;0;1;1;1;-1;0;-1;0;0.5714285714285714
Yes;B03920;Q105845656;Ermanno Bartellini;Ermanno Bartellini;1897;1897;m;m;Italia;Regno d'Italia;Pavia;Pavia;dottore in scienze commerciali;giornalista;Carlo;;socialista;dottore commercialista, bancario, attivista socialista, giornalista italiano;1;;1;1;1;1;1;0;-1;1;1.0
Yes;B04731;Q3229281;Lelio Basso;Lelio Basso;1903;1903;m;m;Italia;Italia|Regno d'Italia;Varazze;Varazze;avvocato;antifascista|avvocato|giornalista|politico;Pietro;;socialista;avvocato e politico italiano (1903-1978);1;;1;1;1;1;1;0;1;0;1.0
Yes;B05261;Q3430358;Riccardo Bauer;Riccardo Bauer;1896;1896;m;m;Italia;Italia|Regno d'Italia;Milano;Milano;avvocato|pubblicista;politico|storico;Francesco;;antifascista;storico e politico italiano (1896-1982);1;;1;1;1;1;1;0;-1;0;1.0
Yes;B07057;Q2865931;Arturo Bendini;Arturo Bendini;1891;1891;m;m;Italia;Regno d'Italia;Brescia;Brescia;deputato ex;politico;Silvio;;comunista;politico italiano;1;;1;1;1;1;1;0;1;0;1.0
Yes;B07539;Q16268181;Paolo Bentivoglio;Paolo Bentivoglio;1894;1894;m;m;Italia;Italia|Regno d'Italia;Modena;Modena;insegnante;insegnante|politico;Calisto;;socialista;politico italiano;1;;1;1;1;1;1;0;1;0;1.0
Yes;B08314;Q3743767;Ferruccio Bernardini;Ferruccio Bernardini;1866;1866;m;m;Italia;Regno d'Italia;Arezzo;Arezzo;avvocato|deputato ex|ingegnere;politico;Oreste;;socialista;politico italiano;1;;1;1;1;1;1;0;1;0;1.0
No;B08704;Q3766815;Giovanni Berta;Giovanni Berta;1894;1894;m;m;Italia;Regno d'Italia;Montalenghe;Firenze;contadino;politico;Giacomo;;socialista;politico italiano (1894-1921);10;;1;1;1;1;-1;0;-1;0;0.5
No;B08704;Q85863139;Giovanni Berta;Giovanni Bertacchi;1894;1894;m;m;Italia;Regno d'Italia;Montalenghe;Lugo;contadino;;Giacomo;;socialista;Militare italiano decorato di Medaglia d'oro al valore militare;10;;1;-1;1;1;-1;0;0;0;0.33333333333333337
Yes;B08997;Q3770106;Giuseppe Berti;Giuseppe Berti;1901;1901;m;m;Italia;Italia|Regno d'Italia;Napoli;Napoli;pubblicista;politico;Angelo;;comunista;politico italiano (1901-1979);19;;1;1;1;1;1;0;-1;0;1.0
No;B16102;Q23818765;Carlo Botti;Carlo Bottiglioni;1907;1906;m;m;Italia;Regno d'Italia;Ferrara;Carrara;artista di varietà|meccanico;militare;Alberto;;antifascista;militare italiano;6;;0;-1;1;1;-1;0;-1;0;0.8333333333333335
Yes;B16534;Q55225947;Comunardo Braccialarghe;Comunardo Braccialarghe;1875;1875;m;m;Italia;;Macerata;Macerata;ottonaio;anarchico|giornalista|saggista|scrittore|traduttore;Vito;;anarchico;giornalista, scrittore e anarchico italiano (1857-1951);1;;1;1;1;0;1;0;-1;1;1.0
No;B16814;Q20204265;Giovanni Brambilla;Giovanni Brambilla;1910;1910;m;m;Italia;Italia|Regno d'Italia;Vignarola;Milano;meccanico;partigiano|politico;Attilio;;comunista;politico italiano;3;;1;1;1;1;-1;0;-1;0;0.5
Yes;B17041;Q3766892;Giovanni Braschi;Giovanni Braschi;1891;1891;m;m;Italia;Italia|Regno d'Italia;Mercato Saraceno;Mercato Saraceno;avvocato;politico;Francesco;;antifascista;avvocato e politico italiano (1891-1959);3;;1;1;1;1;1;0;-1;0;1.0
Yes;B18066;Q63929658;Luigi Arsenio Brugnola;Luigi Arsenio Brugnola;1870;1870;m;m;Italia;Regno d'Italia;Montone;Montone;dottore;medico|politico|professore universitario;Antonio;;socialista;politico italiano;3;Arsenio Brugnola;1;1;1;1;1;0;1;0;1.0
Yes;B18066;Q63929658;Arsenio Brugnola;Luigi Arsenio Brugnola;1870;1870;m;m;Italia;Regno d'Italia;Montone;Montone;dottore;medico|politico|professore universitario;Antonio;;socialista;politico italiano;3;Arsenio Brugnola;1;1;1;1;1;0;1;0;1.0
No;B18420;Q110819838;Giovanni Bruno;Giovanni Bruno;1901;1902;m;m;Francia;Italia;Francia;Rossano;calzolaio;politico;Antonio giacomo;;anarchico;politico italiano (1902-1994);17;;0;1;1;-1;-1;0;-1;0;0.4
