cpc_id;query;variant;qid;label;description;aliases;lang
S06741;Paolo Signorini;no;Q19985161;Paolo Signorini;;[];it
S06741;Paolo Signorini;no;Q3894475;Paolo Signorini;;[];it
P05785;Mladen Percov;no;;;;;
C01387;Ante Cambio;no;;;;;
M16575;Giuseppe Muric;no;;;;;
P04471;Giacomo Pecaric;no;;;;;
C08018;Giuseppe Cebokli;no;;;;;
T03412;Milan Tomljanovic;no;;;;;
M02850;Giacomo Manjetar;no;;;;;
T04489;Giuseppe Toso;no;;;;;
D06924;Cesare Diana;no;;;;;
S07577;Giuseppe Sirotich;no;;;;;
F04503;Antonio Filippi;no;Q89862514;Antonio Filippi;researcher;[];it
F04503;Antonio Filippi;no;Q102406066;Antonio Filippi;Ph.D. 2002;[];it
F04503;Antonio Filippi;no;Q601962;Antonio Filippini;Italian footballer;[];it
F04503;Antonio Filippi;no;Q63859529;Antonio Filippini;researcher;[];it
F04503;Antonio Filippi;no;Q57315566;Antonio Filippin;researcher;[];it
I01258;Giovanni Iurzolla;no;;;;;
D08317;Margherita Druskovic;no;;;;;
Z02251;Luigi Zigon;no;;;;;
P04222;Giovanni Pavcovic;no;;;;;
L05617;Vilko Lupse;no;;;;;
G07468;Francesco Gljka;no;;;;;
S11430;Giuseppe Svageli;no;;;;;
P12956;Francesco Princic;no;;;;;
S07534;Francesco Sirk;no;;;;;
G08319;Biagio Gracin;no;;;;;
P04390;Matteo Pazanin;no;;;;;
F02724;Angelo Ferenaz;no;;;;;
B12240;Giovanni Blagaic;no;;;;;
C10528;Guglielmo Chinchella;no;;;;;
C11442;Giuseppe Cigan;no;Q105946425;Giuseppe Cigana;French bicycle racer;[];it
C04421;Giuseppe Cargonja;no;;;;;
M11781;Velimir Milkovic;no;;;;;
I00346;Giuseppe Ibba;no;;;;;
G08989;Giuseppe Graziati;no;;;;;
D05776;Luigi Di Carlo;no;;;;;
B17440;Luigi Brezovar;no;;;;;
Z00222;Maria Zagar;no;;;;;
S10597;Mirco Stipinovich;no;;;;;
C13704;Lino Coloni;no;;;;;
G03262;Paride Gelati;no;;;;;
A03745;Stefano Annoni;no;;;;;
B08044;Elisabetta Berk;no;;;;;
B09202;Giuseppe Bertocchi;no;Q22226804;Nino Bertocchi;Italian painter and architect (1900-1956);['Giuseppe Bertocchi'];it
C08027;Alberto Cecada;no;;;;;
B04721;Giacomo Basso;no;Q5557855;Giacomo Bassoli;Italian footballer;[];it
D06835;Luigi Di Tullio Basilio;yes;;;;;
D07267;Antonio Dobricic;no;;;;;
S01343;Antonio Sampieri;no;Q102076059;Antonio Sampieri;composer (1828-1893);[];it
N01553;Rinaldo Nicolettis;no;;;;;
H00080;Maria Hirsman;no;;;;;
R00742;Ivan Rakic;no;;;;;
Z02169;Miroslao Federico Zgur;no;;;;;
Z02169;Miroslao Zgur;yes;;;;;
Z02169;Federico Zgur;yes;;;;;
P01915;Angelo Panu;no;;;;;
S07828;Ludovico Slamnjak;no;;;;;
M02809;Mario Manici;no;;;;;
I01261;Domenico Iuso;no;;;;;
M04276;Mario Marcolini;no;;;;;
