cpc;qid;tipo;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias
S06741;Q19985161;umano;Paolo Signorini;Paolo Signorini;1906;1884;m;m;Yugoslavia;Italia|Regno d'Italia;Buccari;Casalpusterlengo;falegname;;Domenico;;antifascista;dirigente d'azienda italiano;2;
S06741;Q3894475;umano;Paolo Signorini;Paolo Signorini;1906;1896;m;m;Yugoslavia;Regno d'Italia;Buccari;Casale Monferrato;falegname;militare;Domenico;;antifascista;militare italiano;2;
F04503;Q89862514;umano;Antonio Filippi;Antonio Filippi;1915;0;m;m;Italia;;Pisino (Pola);;minatore;ricercatore;Giovanni;;antifascista;researcher;5;
F04503;Q102406066;umano;Antonio Filippi;Antonio Filippi;1915;0;m;m;Italia;;Pisino (Pola);;minatore;;Giovanni;;antifascista;Ph.D. 2002;5;
F04503;Q601962;umano;Antonio Filippi;Antonio Filippini;1915;1973;m;m;Italia;Italia;Pisino (Pola);Brescia;minatore;allenatore di calcio|calciatore;Giovanni;;antifascista;allenatore di calcio e calciatore italiano;5;
F04503;Q63859529;umano;Antonio Filippi;Antonio Filippini;1915;0;m;m;Italia;;Pisino (Pola);;minatore;ricercatore;Giovanni;;antifascista;researcher;5;
F04503;Q57315566;umano;Antonio Filippi;Antonio Filippin;1915;1969;m;m;Italia;;Pisino (Pola);;minatore;economista|ricercatore;Giovanni;;antifascista;ricercatore;5;
C11442;Q105946425;umano;Giuseppe Cigan;Joseph Cigano;1914;1932;m;m;Yugoslavia;Francia|Italia;Zizka;Gaiarine;dottore in legge;ciclista;Giuseppe;;comunista;ciclista francese;1;
B09202;Q22226804;umano;Giuseppe Bertocchi;Nino Bertocchi;1910;1900;m;m;Italia;Italia|Regno d'Italia;Pola;Bologna;giornalaio|marittimo;architetto|pittore;Antonio;;comunista;pittore e architetto italiano (1900-1956);1;Giuseppe Bertocchi
B04721;Q5557855;umano;Giacomo Basso;Giacomo Bassoli;1898;1990;m;m;Italia;Italia;Roccaforte Mondovì;Bologna;contadino;calciatore;Giovanni;;socialista;calciatore italiano;1;
S01343;Q102076059;umano;Antonio Sampieri;Antonio Sampieri;1886;1828;m;m;Italia;;Messina;Bologna;stagnino;compositore;Raffaele;;;compositore (1828-1893);1;
S00102;Q7029109;umano;Nicola Sabatino;Nicola Sabatino;1908;1705;m;m;Italia;;Villa Santa Maria;Napoli;bracciante|cuoco;compositore;Salvatore;;antifascista;compositore italiano;1;
G01263;Q120039253;umano;Giovanni Gallino;Giovanni Gallino;1895;1921;m;m;Italia;;Viù;Cisterna d'Asti;muratore;fondatore|insegnante|sacerdote|vicepresidente;Antonio;;anarchico;educatore, vicepresidente della Sezione CAI Varallo e fondatore del GRIM;3;
M03809;Q115556679;umano;Giovanni Marchesich;Giovanni Marchesich;1869;2004;m;m;Italia;;Pola;;agricoltore;scacchista;Gregorio;;antifascista;chess player;1;
G07212;Q57625614;umano;Giovanni Giupponi;Giovanni Giupponi;1885;0;m;m;Italia;;Zogno;;minatore;ricercatore;Angelo;;antifascista;ricercatore;1;
C04558;Q105756044;umano;Giuseppe Carletti;Giuseppe Carletti;1899;1959;m;m;Italia;Italia;San Benedetto Po;Foppolo;maestro di musica;sciatore alpino;Giuseppe;;socialista;Italian alpine skier;4;
C04558;Q115122188;pagina di disambiguazione di un progetto Wikimedia;Giuseppe Carletti;Giuseppe Carletti;1899;0;m;;Italia;;San Benedetto Po;;maestro di musica;;Giuseppe;;socialista;pagina di disambiguazione di un progetto Wikimedia;4;
