cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
A00015;Q14623873;Giuseppe Abate;Giuseppe Abate;1893;1800;m;m;Italia;;Troia;;contadino;pittore|restauratore;Giuseppe;;socialista;Italian restorer;2;;-1;1;1;0;0;0;-1;0;0.0
A00015;Q21541816;Giuseppe Abate;Giuseppe Abate;1893;1889;m;m;Italia;Italia|Regno d'Italia;Troia;Casteltermini;contadino;cappellano militare|insegnante;Giuseppe;;socialista;frate minore, cappellano militare e docente (1889-1969);2;;-1;1;1;1;-1;0;-1;0;0.4
A00046;Q109653034;Davide Abba;Davide Abbatescianni;1889;1991;m;m;Italia;Italia;Zeri;Bari;venditore ambulante;giornalista;Rocco;;socialista;Italian journalist, film critic;6;;-1;-1;1;1;-1;0;-1;0;0.6666666666666667
A00046;Q123152764;Pietro Abba;Pietro Abbadessa;1889;0;m;m;Italia;;Zeri;;venditore ambulante;giurista|professore universitario;Rocco;;socialista;giurista, docente di Diritto bancario;6;;-1;-1;1;0;0;0;-1;0;0.0
A00046;Q130940805;Davide Abba;Davide Abbattista;1889;0;m;;Italia;;Zeri;;venditore ambulante;ricercatore;Rocco;;socialista;researcher;6;;-1;-1;0;0;0;0;-1;0;0.0
A00046;Q1850396;Pietro Abba;Pietro Abbà Cornaglia;1889;1851;m;m;Italia;Regno d'Italia;Zeri;Alessandria;venditore ambulante;autore di canzoni|compositore|critico musicale|direttore artistico|educatore|organista|pianista|scrittore musicale;Rocco;;socialista;compositore italiano;6;;-1;-1;1;1;-1;0;-1;0;0.5714285714285714
A00046;Q3710198;Pietro Abba;Pietro Abbati Marescotti;1889;1768;m;m;Italia;;Zeri;Modena;venditore ambulante;matematico;Rocco;;socialista;matematico italiano;6;;-1;-1;1;0;-1;0;-1;0;0.2857142857142857
A00403;Q1010826;Giuseppe Adami;Giuseppe Adami;1888;1915;m;m;Italia;Italia|Regno d'Italia;Civitavecchia;Roma;ferroviere ex;arbitro di calcio;Ignoto;;comunista;arbitro di calcio italiano;6;;-1;1;1;1;-1;0;-1;0;0.4
A00403;Q1528102;Giuseppe Adami;Giuseppe Adami;1888;1878;m;m;Italia;Italia|Regno d'Italia;Civitavecchia;Verona;ferroviere ex;critico musicale|drammaturgo|giornalista|librettista|musicologo|regista cinematografico|sceneggiatore|scrittore;Ignoto;;comunista;scrittore e librettista italiano (1878-1946);6;;-1;1;1;1;-1;0;-1;0;0.33333333333333337
A00403;Q24703746;Giuseppe Adami;Giuseppe Adami (generale);1888;1891;m;m;Italia;Regno d'Italia;Civitavecchia;;ferroviere ex;;Ignoto;;comunista;;6;Giuseppe Adami (generale);-1;1;1;1;0;0;0;0;0.0
A00403;Q55007695;Giuseppe Adami;Giuseppe Adami;1888;1882;m;m;Italia;;Civitavecchia;;ferroviere ex;entomologo;Ignoto;;comunista;entomologist;6;;-1;1;1;0;0;0;-1;0;0.0
A00403;Q98398470;Giuseppe Adami;Giuseppe Adami di Bergolo;1888;1774;m;m;Italia;Ducato di Savoia;Civitavecchia;Torino;ferroviere ex;;Ignoto;;comunista;;6;;-1;1;1;-1;-1;0;0;0;0.25
A00495;Q56007147;Giuseppe Adorni;Giuseppe Adorni;1892;1774;m;m;Italia;;Langhirano;;muratore;poeta|professore|scrittore;Giacinto;;socialista;poeta, professore;1;;-1;1;1;0;0;0;-1;0;0.0
A00679;Q106692746;Giuseppe Agosti;Giuseppe Agosti;1890;1922;m;m;Italia;Regno d'Italia;Mortizza;;bracciante;partigiano;Giovanni;;socialista;partigiano (1922-?);17;;-1;1;1;1;0;0;-1;0;0.0
A00679;Q106692786;Giuseppe Agosti;Giuseppe Agosti;1890;1914;m;m;Italia;Regno d'Italia;Mortizza;Treviso;bracciante;artigliere|partigiano;Giovanni;;socialista;artigliere e partigiano (1914-1944);17;;-1;1;1;1;-1;0;-1;0;0.33333333333333337
A00679;Q115902429;Giuseppe Agosti;Giuseppe Poli;1890;1950;m;m;Italia;;Mortizza;Molfetta;bracciante;professore universitario|scienziato della comunicazione|storico;Giovanni;;socialista;storico (1950-);17;Giuseppe Agostino Poli;-1;-1;1;0;-1;0;-1;0;0.5
A00679;Q133368853;Giuseppe Agosti;Q133368853;1890;1975;m;m;Italia;;Mortizza;Lüdenscheid;bracciante;fisico;Giovanni;;socialista;;17;;-1;-1;1;0;-1;0;-1;0;0.19999999999999996
A00679;Q1348867;Giuseppe Agosti;Giuseppe Vasi;1890;1710;m;m;Italia;;Mortizza;Corleone;bracciante;architetto|artista grafico|incisore|pittore;Giovanni;;socialista;incisore e architetto italiano (1710-1782);17;Giuseppe Agostino Vasi;-1;-1;1;0;-1;0;-1;0;0.36363636363636365
A00679;Q1528105;Giuseppe Agosti;Giuseppe Agostino;1890;1928;m;m;Italia;Italia|Regno d'Italia;Mortizza;Reggio Calabria;bracciante;sacerdote cattolico|vescovo cattolico;Giovanni;;socialista;arcivescovo cattolico italiano (1928-2014);17;;-1;-1;1;1;-1;0;-1;0;0.5454545454545454
