cpc;qid
M09042;-
N00818;-
S11377;-
Z03385;-
H00003;-
J00316;-
S07739;-
S07781;-
O00061;-
P11769;-
S05090;-
S06629;-
Z03327;-
B11210;-
C08500;-
P00837;-
P00852;-
S07933;-
S07934;-
S09996;-
S11329;-
V04799;NIL
C09164;-
S05050;-
S07864;-
Z02533;-
O00613;-
S08623;-
B05935;-
B18710;-
K00732;-
K00741;-
P04457;-
P13872;-
S07762;-
G08380;-
B00080;-
B12949;-
B16762;-
C11639;-
P06125;-
S05253;-
D03852;-
E00413;-
T05433;-
C09716;-
D01736;-
D05513;NIL
S01419;-
S07843;-
S10888;-
Z02125;-
B05214;-
B05218;NIL
H00226;-
P06343;-
S11394;-
V03376;-
B05315;-
C12778;NIL
D08446;-
P09841;-
S08663;-
V01312;-
V04648;-
V05139;-
B17446;-
D08264;-
F07948;-
G09253;-
O00225;-
R07287;-
Z01195;-
C17595;-
P05784;-
P06127;-
P09613;-
S08044;-
B03991;-
C16902;-
C16904;-
D07292;-
R04325;-
S06741;NIL
S07632;-
S07953;-
S08114;-
S10117;NIL
S11357;-
V01776;-
V02197;-
V04693;-
V04797;-
F07453;-
F07454;-
S00191;-
B12328;-
B12329;-
D08482;-
P05785;NIL
S02856;-
Z01949;NIL
Z03368;-
V04444;-
B05129;-
T06169;-
B09684;-
B17171;-
P12616;-
R02171;-
M10687;-
B19341;-
C13141;-
M16423;-
O00755;-
P00833;-
Z03175;-
A00990;-
B00396;-
C01387;NIL
C09710;-
P00838;-
P04298;-
P06129;-
P06130;-
P06131;-
P07045;-
P07050;-
P09348;-
P09349;-
P09876;-
R04788;-
R04789;-
R04790;-
R04791;-
R04792;-
R04793;-
R04794;-
S02318;-
S08012;-
S08013;NIL
S08014;-
Z02499;-
Z02500;-
N02149;-
G09647;-
S11388;-
T03197;-
B07552;-
B15894;-
C08520;-
C08522;-
C14190;-
D07310;-
T03537;-
C09709;-
B03256;-
B05856;-
B07689;-
B15770;-
